Subj01,Subj02,Subj03,Gen. Average,Remarks,YRGRAD,TE,REGION/PROVINCE/CITY,SEX,# OF TAKES CORREL 1,# OF TAKES CORREL 2,# OF TAKES CORREL 3,GRADE IN CORREL 1,GRADE IN CORREL 2,GRADE IN CORREL 3
38,75,44,51.2,FAILED,1118,2,,,,,,,,
84,94,87,88.05,PASSED,1222,1,0,1,1,1,1,3,3,1
80,92,81,83.95,PASSED,1222,1,1,0,1,2,1,2.5,3.5,1
62,71,47,59.45,FAILED,1222,2,1,0,,1,4,,1,1
70,89,77,78.15,PASSED,323,1,0,1,1,1,1,1,1,1
75,88,74,78.55,PASSED,623,1,1,0,1,2,2,3,3,1
38,56,41,44.45,FAILED,1221,1,0,0,2,4,1,1.5,1.5,1
72,86,71,75.85,PASSED,323,1,0,1,6,2,1,1,1,1
69,77,65,70,PASSED,422,2,1,0,5,2,1,1,1,1
75,83,75,77.4,PASSED,921,2,0,1,,1,2,,0.5,2
84,93,82,86,PASSED,1222,1,1,0,1,1,1,2.5,2.5,1
60,78,63,66.45,FAILED,722,1,1,0,2,1,1,1,1,1.5
71,56,34,53.55,FAILED,422,2,1,0,1,1,2,1,1,1
72,90,77,79.15,PASSED,723,1,0,1,1,1,2,2,2.5,1
70,70,59,66.15,FAILED,723,1,0,1,1,1,2,1,1,1
62,59,50,56.9,FAILED,520,2,1,1,1,2,1,1,1,1
50,59,50,52.7,FAILED,223,2,1,1,,3,4,,1,1
60,50,46,52.1,FAILED,1222,1,1,1,3,4,4,2,1,1
60,82,47,62.05,FAILED,1221,2,0,1,1,1,1,1,1,1.5
46,39,50,45.3,FAILED,323,1,1,0,2,1,3,1,1.5,1
72,83,59,70.75,PASSED,1222,1,0,1,1,1,1,2,2.5,1
72,82,70,74.3,PASSED,323,1,1,0,1,2,2,1,1.5,1
81,90,86,85.45,PASSED,323,1,1,1,1,1,1,2,1,1
64,39,57,54.05,FAILED,1222,1,0,0,1,1,4,1,2,1
62,42,50,51.8,FAILED,722,2,0,1,1,2,2,1,1,1.5
74,88,72,77.5,PASSED,323,1,1,1,2,1,2,1,1,1
